ACTIVITY_INSTANCE_NAME,ACTIVITY_ITEM_CLASS_NAME,ACTIVITY_ITEM_TYPE,ACTIVITY_ITEM_VALUE,IS_ADAM_PARAM_SPECIFIC
"Glucose, Serum",numeric_finding_original_result_unit,,,
"Glucose, Serum",specimen,,,
"Glucose, Serum",domain,terms,DOMAIN:LB,
"Glucose, Serum",finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
"Glucose, Serum",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Glucose, Serum",standard_unit,units,mmol/L,
"Glucose, Serum",molecular_weight,,,
"Glucose, Serum",test_code,terms,LBTESTCD:GLUC,
"Glucose, Serum",test_name,terms,LBTEST:Glucose,
Glucose Dipstick,categoric_finding_original_result,,,
Glucose Dipstick,specimen,,,
Glucose Dipstick,domain,terms,DOMAIN:LB,
Glucose Dipstick,finding_category,terms,FINDCAT:URINALYSIS,
Glucose Dipstick,loinc,,,
Glucose Dipstick,test_code,terms,LBTESTCD:GLUC,
Glucose Dipstick,test_name,terms,LBTEST:Glucose,
HbA1c,numeric_finding_original_result,,,
HbA1c,numeric_finding_original_result_unit,,,
HbA1c,specimen,,,
HbA1c,domain,terms,DOMAIN:LB,
HbA1c,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
HbA1c,unit_dimension,terms,UNITDIM:PERCENTAGE,
HbA1c,standard_unit,units,%,
HbA1c,loinc,,,
HbA1c,test_code,terms,LBTESTCD:HBA1C,
HbA1c,test_name,terms,LBTEST:Hemoglobin A1C,
Heart Failure Classification,categoric_finding_original_result,,,
Heart Failure Classification,domain,terms,DOMAIN:ZA,
Heart Failure Classification,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Heart Failure Classification,test_code,terms,ZATESTCD:HTFAILCL,
Heart Failure Classification,test_name,terms,ZATEST:Heart Failure Classification,
Height,numeric_finding_original_result,,,
Height,numeric_finding_original_result_unit,,,
Height,domain,terms,DOMAIN:VS,
Height,finding_category,terms,FINDCAT:BODY MEASUREMENT,
Height,unit_dimension,terms,UNITDIM:LENGTH,
Height,standard_unit,units,m,
Height,fasting_status,,,
Height,test_code,terms,VSTESTCD:HEIGHT,
Height,test_name,terms,VSTEST:Height,
Hip Circumference,numeric_finding_original_result,,,
Hip Circumference,numeric_finding_original_result_unit,,,
Hip Circumference,domain,terms,DOMAIN:VS,
Hip Circumference,finding_category,terms,FINDCAT:BODY MEASUREMENT,
Hip Circumference,unit_dimension,terms,UNITDIM:LENGTH,
Hip Circumference,standard_unit,units,cm,
Hip Circumference,fasting_status,,,
Hip Circumference,test_code,terms,VSTESTCD:HIPCIR,
Hip Circumference,test_name,terms,VSTEST:Hip Circumference,
Hospitalisation,domain,terms,DOMAIN:HO,
Hospitalisation,finding_category,terms,FINDCAT:IN-PATIENT/PROLONGED HOSPITALISATION,
Did the Subject Feel Better After the Treatment,categoric_finding_original_result,,,
Did the Subject Feel Better After the Treatment,domain,terms,DOMAIN:ZA,
Did the Subject Feel Better After the Treatment,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Did the Subject Feel Better After the Treatment,test_code,terms,ZATESTCD:FEELBETT,
Did the Subject Feel Better After the Treatment,test_name,terms,ZATEST:Subject Feel Better After the Treatment,
Informed Consent Obtained Date,domain,terms,DOMAIN:DS,
Informed Consent Obtained Date,finding_category,terms,FINDCAT:PROTOCOL MILESTONE,
Informed Consent Obtained Date,test_code,terms,PROTMLSTCD:INFORMED CONSENT OBTAINED,
Informed Consent Obtained Date,test_name,terms,PROTMLST:INFORMED CONSENT OBTAINED,
International Normalized Ratio,numeric_finding_original_result,,,
International Normalized Ratio,numeric_finding_original_result_unit,,,
International Normalized Ratio,domain,terms,DOMAIN:LB,
International Normalized Ratio,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
International Normalized Ratio,unit_dimension,terms,UNITDIM:PERCENTAGE,
International Normalized Ratio,standard_unit,units,ratio,
International Normalized Ratio,test_code,terms,LBTESTCD:INR,
International Normalized Ratio,test_name,terms,LBTEST:Prothrombin Intl. Normalized Ratio,
INR,numeric_finding_original_result,,,
INR,numeric_finding_original_result_unit,,,
INR,specimen,,,
INR,domain,terms,DOMAIN:LB,
INR,finding_category,terms,FINDCAT:COAGULATION PARAMETER,
INR,unit_dimension,terms,UNITDIM:PERCENTAGE,
INR,standard_unit,units,ratio,
INR,loinc,,,
INR,test_code,terms,LBTESTCD:INR,
INR,test_name,terms,LBTEST:Prothrombin Intl. Normalized Ratio,
Human Insulin,numeric_finding_original_result,,,
Human Insulin,numeric_finding_original_result_unit,,,
Human Insulin,specimen,,,
Human Insulin,domain,terms,DOMAIN:LB,
Human Insulin,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Human Insulin,unit_dimension,terms,UNITDIM:CONCENTRATION,
Human Insulin,standard_unit,units,pmol/L,
Human Insulin,molecular_weight,,,
Human Insulin,test_code,terms,LBTESTCD:INSULIN,
Human Insulin,test_name,terms,LBTEST:Insulin,
Insulin Serum,numeric_finding_original_result,,,
Insulin Serum,numeric_finding_original_result_unit,,,
Insulin Serum,specimen,,,
Insulin Serum,domain,terms,DOMAIN:LB,
Insulin Serum,finding_category,terms,FINDCAT:GLUCOSE METABOLISM,
Insulin Serum,unit_dimension,terms,UNITDIM:CONCENTRATION,
Insulin Serum,standard_unit,units,pmol/L,
Insulin Serum,molecular_weight,,,
Insulin Serum,loinc,,,
Insulin Serum,test_code,terms,LBTESTCD:INSULIN,
Insulin Serum,test_name,terms,LBTEST:Insulin,
Last Date on Trial Product,domain,terms,DOMAIN:DS,
Last Date on Trial Product,finding_category,terms,FINDCAT:PROTOCOL MILESTONE,
Last Date on Trial Product,test_code,terms,PROTMLSTCD:LAST DATE ON TRIAL PRODUCT,
Last Date on Trial Product,test_name,terms,PROTMLST:LAST DATE ON TRIAL PRODUCT,
Legal or Authorised Representative,domain,terms,DOMAIN:DS,
Legal or Authorised Representative,finding_category,terms,FINDCAT:PROTOCOL MILESTONE,
Legal or Authorised Representative,test_code,terms,PROTMLSTCD:INFORMED CONSENT OBTAINED,
Legal or Authorised Representative,test_name,terms,PROTMLST:INFORMED CONSENT OBTAINED,
"Lipase, AE Requiring Additional Data",numeric_finding_original_result,,,
"Lipase, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Lipase, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Lipase, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Lipase, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Lipase, AE Requiring Additional Data",standard_unit,units,U/L,
"Lipase, AE Requiring Additional Data",test_code,terms,LBTESTCD:LIPASET,
"Lipase, AE Requiring Additional Data",test_name,terms,LBTEST:Lipase,
"Lipase, Biochemistry",numeric_finding_original_result,,,
"Lipase, Biochemistry",numeric_finding_original_result_unit,,,
"Lipase, Biochemistry",specimen,,,
"Lipase, Biochemistry",domain,terms,DOMAIN:LB,
"Lipase, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Lipase, Biochemistry",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Lipase, Biochemistry",standard_unit,units,U/L,
"Lipase, Biochemistry",loinc,,,
"Lipase, Biochemistry",test_code,terms,LBTESTCD:LIPASET,
"Lipase, Biochemistry",test_name,terms,LBTEST:Lipase,
Glomerular Filtration Rate,numeric_finding_original_result,,,
Glomerular Filtration Rate,numeric_finding_original_result_unit,,,
Glomerular Filtration Rate,domain,terms,DOMAIN:LB,
Glomerular Filtration Rate,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Glomerular Filtration Rate,unit_dimension,terms,UNITDIM:FLOW,
Glomerular Filtration Rate,standard_unit,units,mL/min,
Glomerular Filtration Rate,test_code,terms,LBTESTCD:GFR,
Glomerular Filtration Rate,test_name,terms,LBTEST:Glomerular Filtration Rate,
Medical History/Concomitant Illness,domain,terms,DOMAIN:MH,
Medical History/Concomitant Illness,finding_category,terms,FINDCAT:MEDICAL HISTORY,
Method of Coronary Revascularisation,categoric_finding_original_result,,,
Method of Coronary Revascularisation,domain,terms,DOMAIN:ZA,
Method of Coronary Revascularisation,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Method of Coronary Revascularisation,test_code,terms,ZATESTCD:METHOCRV,
Method of Coronary Revascularisation,test_name,terms,ZATEST:Method of Coronary Revascularisation,
"Nitrite, AE Requiring Additional Data",textual_finding_original_result,,,
"Nitrite, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Nitrite, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Nitrite, AE Requiring Additional Data",test_code,terms,LBTESTCD:NITRITE,
"Nitrite, AE Requiring Additional Data",test_name,terms,LBTEST:Nitrite,
Urine Nitrite,categoric_finding_original_result,,,
Urine Nitrite,specimen,,,
Urine Nitrite,domain,terms,DOMAIN:LB,
Urine Nitrite,finding_category,terms,FINDCAT:URINALYSIS,
Urine Nitrite,test_code,terms,LBTESTCD:NITRITE,
Urine Nitrite,test_name,terms,LBTEST:Nitrite,
"Nitrite, Urinalysis",categoric_finding_original_result,,,
"Nitrite, Urinalysis",specimen,,,
"Nitrite, Urinalysis",domain,terms,DOMAIN:LB,
"Nitrite, Urinalysis",finding_category,terms,FINDCAT:URINALYSIS,
"Nitrite, Urinalysis",test_code,terms,LBTESTCD:NITRITE,
"Nitrite, Urinalysis",test_name,terms,LBTEST:Nitrite,
Other Adjudicated Event Type,categoric_finding_original_result,,,
Other Adjudicated Event Type,domain,terms,DOMAIN:ZA,
Other Adjudicated Event Type,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Other Adjudicated Event Type,test_code,terms,ZATESTCD:OTADEVTY,
Other Adjudicated Event Type,test_name,terms,ZATEST:Other Adjudicated Event Type,
Oxygen Saturation,numeric_finding_original_result,,,
Oxygen Saturation,numeric_finding_original_result_unit,,,
Oxygen Saturation,domain,terms,DOMAIN:VS,
Oxygen Saturation,finding_category,terms,FINDCAT:VITAL SIGNS,
Oxygen Saturation,unit_dimension,terms,UNITDIM:PERCENTAGE,
Oxygen Saturation,standard_unit,units,%,
Oxygen Saturation,test_code,terms,VSTESTCD:OXYSAT,
Oxygen Saturation,test_name,terms,VSTEST:Oxygen Saturation,
Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,categoric_finding_original_result,,,
Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,domain,terms,DOMAIN:QS,
Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,finding_category,terms,FINDCAT:PAIN RATING,
Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,test_code,terms,QSTN_PAIN01CD:PAIN0102,
Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,test_name,terms,QSTN_PAIN01:PAIN01-Rate the Pain at Its Worst,
Pancreatitis,domain,terms,DOMAIN:CE,
Pancreatitis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Significant Upper Abdominal Pain,categoric_finding_original_result,,,
Significant Upper Abdominal Pain,domain,terms,DOMAIN:FA,
Significant Upper Abdominal Pain,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Significant Upper Abdominal Pain,test_code,terms,FATESTCD:PANABPN,
Significant Upper Abdominal Pain,test_name,terms,FATEST:Significant upper abdominal pain,
Any Acute Complications,categoric_finding_original_result,,,
Any Acute Complications,domain,terms,DOMAIN:FA,
Any Acute Complications,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Any Acute Complications,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Any Acute Complications,test_code,terms,FATESTCD:PANACOMP,
Any Acute Complications,test_name,terms,FATEST:Any acute complications,
Other Acute Pancreatitis Symptom,categoric_finding_original_result,,,
Other Acute Pancreatitis Symptom,domain,terms,DOMAIN:FA,
Other Acute Pancreatitis Symptom,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Other Acute Pancreatitis Symptom,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Other Acute Pancreatitis Symptom,test_code,terms,FATESTCD:PANCONOT,
Other Acute Pancreatitis Symptom,test_name,terms,FATEST:Other acute pancreatitis symptom,
Risk Factor - Alcohol Consumption,categoric_finding_original_result,,,
Risk Factor - Alcohol Consumption,domain,terms,DOMAIN:FA,
Risk Factor - Alcohol Consumption,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor - Alcohol Consumption,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor - Alcohol Consumption,test_code,terms,FATESTCD:PANALCON,
Risk Factor - Alcohol Consumption,test_name,terms,FATEST:Risk factor - Alcohol consumption,
Atrophy of the Pancreas,categoric_finding_original_result,,,
Atrophy of the Pancreas,domain,terms,DOMAIN:FA,
Atrophy of the Pancreas,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Atrophy of the Pancreas,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Atrophy of the Pancreas,test_code,terms,FATESTCD:PANATROP,
Atrophy of the Pancreas,test_name,terms,FATEST:Atrophy of the pancreas,
Calcification of Pancreas,categoric_finding_original_result,,,
Calcification of Pancreas,domain,terms,DOMAIN:FA,
Calcification of Pancreas,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Calcification of Pancreas,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Calcification of Pancreas,test_code,terms,FATESTCD:PANCALCI,
Calcification of Pancreas,test_name,terms,FATEST:Calcification of pancreas,
Other Chronic Pancreatitis Symptom,categoric_finding_original_result,,,
Other Chronic Pancreatitis Symptom,domain,terms,DOMAIN:FA,
Other Chronic Pancreatitis Symptom,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Other Chronic Pancreatitis Symptom,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Other Chronic Pancreatitis Symptom,test_code,terms,FATESTCD:PANCHROT,
Other Chronic Pancreatitis Symptom,test_name,terms,FATEST:Other chronic pancreatitis symptom,
Imaging Method - CT Scan,categoric_finding_original_result,,,
Imaging Method - CT Scan,domain,terms,DOMAIN:FA,
Imaging Method - CT Scan,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Method - CT Scan,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING,
Imaging Method - CT Scan,test_code,terms,FATESTCD:PANCT,
Imaging Method - CT Scan,test_name,terms,FATEST:Imaging method - CT Scan,
Dilatation of Pancreatic Ducts,categoric_finding_original_result,,,
Dilatation of Pancreatic Ducts,domain,terms,DOMAIN:FA,
Dilatation of Pancreatic Ducts,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Dilatation of Pancreatic Ducts,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Dilatation of Pancreatic Ducts,test_code,terms,FATESTCD:PANDILPD,
Dilatation of Pancreatic Ducts,test_name,terms,FATEST:Dilatation of pancreatic ducts,
Dilated Common Bile Duct,categoric_finding_original_result,,,
Dilated Common Bile Duct,domain,terms,DOMAIN:FA,
Dilated Common Bile Duct,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Dilated Common Bile Duct,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Dilated Common Bile Duct,test_code,terms,FATESTCD:PANDILDU,
Dilated Common Bile Duct,test_name,terms,FATEST:Dilated common bile duct pancretitis,
Risk Factor -Family Hist of Pancreatitis,categoric_finding_original_result,,,
Risk Factor -Family Hist of Pancreatitis,domain,terms,DOMAIN:FA,
Risk Factor -Family Hist of Pancreatitis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor -Family Hist of Pancreatitis,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor -Family Hist of Pancreatitis,test_code,terms,FATESTCD:PANFHISP,
Risk Factor -Family Hist of Pancreatitis,test_name,terms,FATEST:Risk factor -Family hist of pancreatitis,
Fever as Symptom,categoric_finding_original_result,,,
Fever as Symptom,domain,terms,DOMAIN:FA,
Fever as Symptom,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Fever as Symptom,finding_subcategory,terms,FINDSCAT:PANCREATITIS SIGNS AND SYMPTOMS,
Fever as Symptom,test_code,terms,FATESTCD:PANFEVER,
Fever as Symptom,test_name,terms,FATEST:Fever during Course of Pancreatitis,
Acute Complications - GI Haemorrhage,categoric_finding_original_result,,,
Acute Complications - GI Haemorrhage,domain,terms,DOMAIN:FA,
Acute Complications - GI Haemorrhage,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Complications - GI Haemorrhage,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Acute Complications - GI Haemorrhage,test_code,terms,FATESTCD:PANGIHEM,
Acute Complications - GI Haemorrhage,test_name,terms,FATEST:Acute complications - GI Haemorrhage,
Risk Factor - History of Gallstones,categoric_finding_original_result,,,
Risk Factor - History of Gallstones,domain,terms,DOMAIN:FA,
Risk Factor - History of Gallstones,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor - History of Gallstones,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor - History of Gallstones,test_code,terms,FATESTCD:PANHGALS,
Risk Factor - History of Gallstones,test_name,terms,FATEST:Risk factor - History of gallstones,
Risk Factor - Hyper-Calcaemia,categoric_finding_original_result,,,
Risk Factor - Hyper-Calcaemia,domain,terms,DOMAIN:FA,
Risk Factor - Hyper-Calcaemia,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor - Hyper-Calcaemia,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor - Hyper-Calcaemia,test_code,terms,FATESTCD:PANHYCAL,
Risk Factor - Hyper-Calcaemia,test_name,terms,FATEST:Risk factor - Hyper-calcaemia,
Risk Factor - Hyper-Triglyceridemia,categoric_finding_original_result,,,
Risk Factor - Hyper-Triglyceridemia,domain,terms,DOMAIN:FA,
Risk Factor - Hyper-Triglyceridemia,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor - Hyper-Triglyceridemia,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor - Hyper-Triglyceridemia,test_code,terms,FATESTCD:PANHTGLY,
Risk Factor - Hyper-Triglyceridemia,test_name,terms,FATEST:Risk factor - Hyper-triglyceridemia,
Imaging Consistent with Acute Pan,categoric_finding_original_result,,,
Imaging Consistent with Acute Pan,domain,terms,DOMAIN:FA,
Imaging Consistent with Acute Pan,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Consistent with Acute Pan,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Imaging Consistent with Acute Pan,test_code,terms,FATESTCD:PANIACON,
Imaging Consistent with Acute Pan,test_name,terms,FATEST:Imaging consistent with acute pan,
Imaging Consistent with Chronic Pan,categoric_finding_original_result,,,
Imaging Consistent with Chronic Pan,domain,terms,DOMAIN:FA,
Imaging Consistent with Chronic Pan,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Consistent with Chronic Pan,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Imaging Consistent with Chronic Pan,test_code,terms,FATESTCD:PANICCON,
Imaging Consistent with Chronic Pan,test_name,terms,FATEST:Imaging consistent with chronic pan,
Imaging Consistent with Gallstone,categoric_finding_original_result,,,
Imaging Consistent with Gallstone,domain,terms,DOMAIN:FA,
Imaging Consistent with Gallstone,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Consistent with Gallstone,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING,
Imaging Consistent with Gallstone,test_code,terms,FATESTCD:PANIGCON,
Imaging Consistent with Gallstone,test_name,terms,FATEST:Imaging consistent with gallstone,
Was Imaging Performed,categoric_finding_original_result,,,
Was Imaging Performed,domain,terms,DOMAIN:FA,
Was Imaging Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Was Imaging Performed,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING,
Was Imaging Performed,test_code,terms,FATESTCD:PANIMAPE,
Was Imaging Performed,test_name,terms,FATEST:Was imaging performed,
Imaging Method - MRI,categoric_finding_original_result,,,
Imaging Method - MRI,domain,terms,DOMAIN:FA,
Imaging Method - MRI,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Method - MRI,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING,
Imaging Method - MRI,test_code,terms,FATESTCD:PANMRI,
Imaging Method - MRI,test_name,terms,FATEST:Imaging method - MRI,
Nausea as Symptom,categoric_finding_original_result,,,
Nausea as Symptom,domain,terms,DOMAIN:FA,
Nausea as Symptom,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Nausea as Symptom,finding_subcategory,terms,FINDSCAT:PANCREATITIS SIGNS AND SYMPTOMS,
Nausea as Symptom,test_code,terms,FATESTCD:PANNASEA,
Nausea as Symptom,test_name,terms,FATEST:Nausea during Course of Pancreatitis,
Necrotising Pancreatitis,categoric_finding_original_result,,,
Necrotising Pancreatitis,domain,terms,DOMAIN:FA,
Necrotising Pancreatitis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Necrotising Pancreatitis,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Necrotising Pancreatitis,test_code,terms,FATESTCD:PANNECRP,
Necrotising Pancreatitis,test_name,terms,FATEST:Necrotising pancreatitis,
Obstructive Gall-Stone,categoric_finding_original_result,,,
Obstructive Gall-Stone,domain,terms,DOMAIN:FA,
Obstructive Gall-Stone,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Obstructive Gall-Stone,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Obstructive Gall-Stone,test_code,terms,FATESTCD:PANOBSTR,
Obstructive Gall-Stone,test_name,terms,FATEST:Obstructive gall-stone,
Oedematous or Interstitial Pancreatitis,categoric_finding_original_result,,,
Oedematous or Interstitial Pancreatitis,domain,terms,DOMAIN:FA,
Oedematous or Interstitial Pancreatitis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Oedematous or Interstitial Pancreatitis,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Oedematous or Interstitial Pancreatitis,test_code,terms,FATESTCD:PANOEDIP,
Oedematous or Interstitial Pancreatitis,test_name,terms,FATEST:Oedematous or interstitial pancreatitis,
Imaging Method - Other,categoric_finding_original_result,,,
Imaging Method - Other,domain,terms,DOMAIN:FA,
Imaging Method - Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Imaging Method - Other,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING,
Imaging Method - Other,test_code,terms,FATESTCD:PANIMAOT,
Imaging Method - Other,test_name,terms,FATEST:Imaging method - Other,
Acute Complications - Other,categoric_finding_original_result,,,
Acute Complications - Other,domain,terms,DOMAIN:FA,
Acute Complications - Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Complications - Other,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Acute Complications - Other,test_code,terms,FATESTCD:PANACOOT,
Acute Complications - Other,test_name,terms,FATEST:Acute complications - Other,
Risk Factor - Other,categoric_finding_original_result,,,
Risk Factor - Other,domain,terms,DOMAIN:FA,
Risk Factor - Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Risk Factor - Other,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Risk Factor - Other,test_code,terms,FATESTCD:PANRISOT,
Risk Factor - Other,test_name,terms,FATEST:Risk factor - Other,
Other Symptom,categoric_finding_original_result,,,
Other Symptom,domain,terms,DOMAIN:FA,
Other Symptom,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Other Symptom,finding_subcategory,terms,FINDSCAT:PANCREATITIS SIGNS AND SYMPTOMS,
Other Symptom,test_code,terms,FATESTCD:PANSYOT,
Other Symptom,test_name,terms,FATEST:Other symptom,
Peri-Pancreatic Fluid,categoric_finding_original_result,,,
Peri-Pancreatic Fluid,domain,terms,DOMAIN:FA,
Peri-Pancreatic Fluid,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Peri-Pancreatic Fluid,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING ACUTE,
Peri-Pancreatic Fluid,test_code,terms,FATESTCD:PANPERPF,
Peri-Pancreatic Fluid,test_name,terms,FATEST:Peri-pancreatic fluid,
Pseudocysts,categoric_finding_original_result,,,
Pseudocysts,domain,terms,DOMAIN:FA,
Pseudocysts,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Pseudocysts,finding_subcategory,terms,FINDSCAT:PANCREATITIS IMAGING CHRONIC,
Pseudocysts,test_code,terms,FATESTCD:PANPSEUD,
Pseudocysts,test_name,terms,FATEST:Pseudocysts,
Acute Complications - Renal Failure,categoric_finding_original_result,,,
Acute Complications - Renal Failure,domain,terms,DOMAIN:FA,
Acute Complications - Renal Failure,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Complications - Renal Failure,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Acute Complications - Renal Failure,test_code,terms,FATESTCD:PANRENFD,
Acute Complications - Renal Failure,test_name,terms,FATEST:Acute complications - Renal Failure,
Acute Complications -Respiratory Failure,categoric_finding_original_result,,,
Acute Complications -Respiratory Failure,domain,terms,DOMAIN:FA,
Acute Complications -Respiratory Failure,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Complications -Respiratory Failure,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Acute Complications -Respiratory Failure,test_code,terms,FATESTCD:PANRESFV,
Acute Complications -Respiratory Failure,test_name,terms,FATEST:Acute complications -Respiratory failure,
Pancreatitis Risk Factors,categoric_finding_original_result,,,
Pancreatitis Risk Factors,domain,terms,DOMAIN:FA,
Pancreatitis Risk Factors,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Pancreatitis Risk Factors,finding_subcategory,terms,FINDSCAT:PANCREATITIS RISK FACTORS,
Pancreatitis Risk Factors,test_code,terms,FATESTCD:PANRRFAC,
Pancreatitis Risk Factors,test_name,terms,FATEST:Pancreatitis Risk factors,
Acute Complications - Sepsis,categoric_finding_original_result,,,
Acute Complications - Sepsis,domain,terms,DOMAIN:FA,
Acute Complications - Sepsis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Complications - Sepsis,finding_subcategory,terms,FINDSCAT:PANCREATITIS COMPLICATIONS,
Acute Complications - Sepsis,test_code,terms,FATESTCD:PANSEPSI,
Acute Complications - Sepsis,test_name,terms,FATEST:Acute complications - Sepsis,
Symptoms Present During Event,categoric_finding_original_result,,,
Symptoms Present During Event,domain,terms,DOMAIN:FA,
Symptoms Present During Event,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Symptoms Present During Event,finding_subcategory,terms,FINDSCAT:PANCREATITIS SIGNS AND SYMPTOMS,
Symptoms Present During Event,test_code,terms,FATESTCD:PANSYMP,
